ID,molecule,iso-slug,formula,dataset,abundance,Main column,Main format,QN label,QN format,ExoMol date,N states,N trans file,N trans,trans size readable,trans size bytes
49,NH,15N-1H,(15N)(1H),kNigHt,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,N,F","%1s,%1s,%12s,%3d,%3d,%5d,%2d",20240301,4089,1,327877,1.6 MB,1645927
50,NH,15N-2H,(15N)(2H),kNigHt,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,N,F","%1s,%1s,%12s,%3d,%3d,%5d,%2d",20240301,7465,1,785940,3.8 MB,3935875
51,NH3,14N-1H3,(14N)(1H)3,CoYuTe,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,Gtot,N,n1,n2,n3,n4,l3,l4,inv,K,Grot","%1s,%3d,%5d,%2d,%2d,%2d,%2d,%2d,%2d,%1d,%2d,%3d",20250801,5095730,200,16941637250,142.9 GB,153415044105
52,NH3,15N-1H3,(15N)(1H)3,CoYuTe-15,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,n1,n2,n3,l3,n4,l4,Gvib,K,Grot","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%3s,%2d,%3s",20240808,12699617,10,929795249,7.3 GB,7876755830
53,NO,14N-16O,(14N)(16O),XABC,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20210422,30811,1,4596666,96.7 MB,101371073
54,NaO,23Na-16O,(23Na)(16O),NaOUCMe,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20211117,36120,1,4726283,48.8 MB,51154612
55,NaOH,23Na-16O-1H,(23Na)(16O)(1H),OYT5,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,v1,v2lin,L,v3","%3s,%2d,%2d,%3d,%2d",20201201,7927877,90,496639230921,462.8 GB,496893771144
56,NiH,58Ni-1H,(58Ni)(1H),BYOT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20241209,11982,1,644490,7.0 MB,7288711
57,NiH,58Ni-2H,(58Ni)(2H),BYOT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20241209,23201,1,1718503,17.6 MB,18485586
58,NiH,60Ni-1H,(60Ni)(1H),BYOT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20241209,11986,1,644508,6.9 MB,7283363
59,NiH,62Ni-1H,(62Ni)(1H),BYOT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20241209,11995,1,645386,7.0 MB,7300388
60,OCS,16O-12C-32S,(16O)(12C)(32S),OYT8,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,v1,v2,L2,v3,e/f,Gvib,Grot,Coef,n1,n2,n3","%3s,%2d,%2d,%2d,%2d,%1s,%3s,%3s,%5.2f,%2d,%2d,%2d",20240425,2399110,10,2482188185,21.2 GB,22773022605
61,OH,16O-1H,(16O)(1H),MYTHOS,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20240526,10606,1,1685102,18.8 MB,19743399
62,PN,31P-14N,(31P)(14N),PaiN,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20240505,30327,1,1333445,15.6 MB,16381750
63,PN,31P-15N,(31P)(15N),PaiN,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20240505,31563,1,1438181,16.9 MB,17671884
64,SO,32S-16O,(32S)(16O),SOLIS,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,ElecState,v,Lambda,Sigma,Omega","%1s,%12s,%3d,%3d,%5.1f,%5.1f",20230914,84114,1,7086100,81.6 MB,85610523
65,SO2,32S-16O2,(32S)(16O)2,ExoAmes,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,Ka,Kc,v1,v2,v3","%1s,%2d,%2d,%2d,%2d,%2d",20170131,3270271,80,1300000000,25.4 GB,27230235930
66,ScO,45Sc-16O,(45Sc)(16O),LPB,1,"ID,E,g,F,unc","%12d,%12.6f,%6d,%7d,%12.6f","e/f,ElecState,v,J,N,Fi,Jpar","%1s,%12s,%3d,%7d,%5d,%4s,%1s",20241104,73384,1,559227,5.9 MB,6183431
67,SiN,28Si-14N,(28Si)(14N),SiNfull,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20220809,131936,1,43646806,506.9 MB,531524107
68,SiN,28Si-15N,(28Si)(15N),SiNfull,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20220809,133460,1,44816182,520.9 MB,546187329
