id,filename,molecule,molhtml,moltag,molname,molmass,isoslug,isoformula,isohtml,isohtml,isotag,isohtml,isohtml,isomass,dataset
26,NH__14N-1H__kNigHt__(14N)(1H).csv,NH,NH,nh,Imidogen,15.015000,14N-1H,(14N)(1H),<sup>14</sup>N<sup>1</sup>H,<sup>14</sup>N<sup>1</sup>H,14n1h,<sup>14</sup>N<sup>1</sup>H,<sup>14</sup>N<sup>1</sup>H,15.010899,kNigHt
27,NH__14N-2H__kNigHt__(14N)(2H).csv,NH,NH,nh,Imidogen,15.015000,14N-2H,(14N)(2H),<sup>14</sup>N<sup>2</sup>H,<sup>14</sup>N<sup>2</sup>H,14n2h,<sup>14</sup>N<sup>2</sup>H,<sup>14</sup>N<sup>2</sup>H,16.017176,kNigHt
28,NH__15N-1H__kNigHt__(15N)(1H).csv,NH,NH,nh,Imidogen,15.015000,15N-1H,(15N)(1H),<sup>15</sup>N<sup>1</sup>H,<sup>15</sup>N<sup>1</sup>H,15n1h,<sup>15</sup>N<sup>1</sup>H,<sup>15</sup>N<sup>1</sup>H,16.007934,kNigHt
29,NH__15N-2H__kNigHt__(15N)(2H).csv,NH,NH,nh,Imidogen,15.015000,15N-2H,(15N)(2H),<sup>15</sup>N<sup>2</sup>H,<sup>15</sup>N<sup>2</sup>H,15n2h,<sup>15</sup>N<sup>2</sup>H,<sup>15</sup>N<sup>2</sup>H,17.014211,kNigHt
30,NH3__14N-1H3__CoYuTe__(14N)(1H)3.csv,NH3,NH<sub>3</sub>,nh3,Ammonia,17.031000,14N-1H3,(14N)(1H)3,<sup>14</sup>N<sup>1</sup>H<sub>3</sub>,<sup>14</sup>N<sup>1</sup>H<sub>3</sub>,14n1h3,<sup>14</sup>N<sup>1</sup>H<sub>3</sub>,<sup>14</sup>N<sup>1</sup>H<sub>3</sub>,17.026549,CoYuTe
31,NO__14N-16O__XABC__(14N)(16O).csv,NO,NO,no,Nitric oxide,30.006000,14N-16O,(14N)(16O),<sup>14</sup>N<sup>16</sup>O,<sup>14</sup>N<sup>16</sup>O,14n16o,<sup>14</sup>N<sup>16</sup>O,<sup>14</sup>N<sup>16</sup>O,29.997989,XABC
32,SiN__28Si-14N__SiNfull__(28Si)(14N).csv,SiN,SiN,sin,Silicon nitride,42.092000,28Si-14N,(28Si)(14N),<sup>28</sup>Si<sup>14</sup>N,<sup>28</sup>Si<sup>14</sup>N,28si14n,<sup>28</sup>Si<sup>14</sup>N,<sup>28</sup>Si<sup>14</sup>N,41.980001,SiNfull
33,SiN__28Si-15N__SiNfull__(28Si)(15N).csv,SiN,SiN,sin,Silicon nitride,42.092000,28Si-15N,(28Si)(15N),<sup>28</sup>Si<sup>15</sup>N,<sup>28</sup>Si<sup>15</sup>N,28si15n,<sup>28</sup>Si<sup>15</sup>N,<sup>28</sup>Si<sup>15</sup>N,42.977035,SiNfull
34,SiN__29Si-14N__SiNfull__(29Si)(14N).csv,SiN,SiN,sin,Silicon nitride,42.092000,29Si-14N,(29Si)(14N),<sup>29</sup>Si<sup>14</sup>N,<sup>29</sup>Si<sup>14</sup>N,29si14n,<sup>29</sup>Si<sup>14</sup>N,<sup>29</sup>Si<sup>14</sup>N,42.979569,SiNfull
35,SiN__30Si-14N__SiNfull__(30Si)(14N).csv,SiN,SiN,sin,Silicon nitride,42.092000,30Si-14N,(30Si)(14N),<sup>30</sup>Si<sup>14</sup>N,<sup>30</sup>Si<sup>14</sup>N,30si14n,<sup>30</sup>Si<sup>14</sup>N,<sup>30</sup>Si<sup>14</sup>N,43.976844,SiNfull
36,SiO__28Si-16O__SiOUVenIR__(28Si)(16O).csv,SiO,SiO,sio,Silicon monoxide,44.084000,28Si-16O,(28Si)(16O),<sup>28</sup>Si<sup>16</sup>O,<sup>28</sup>Si<sup>16</sup>O,28si16o,<sup>28</sup>Si<sup>16</sup>O,<sup>28</sup>Si<sup>16</sup>O,43.971841,SiOUVenIR
37,SO__32S-16O__SOLIS__(32S)(16O).csv,SO,SO,so,Sulfur monoxide,48.059000,32S-16O,(32S)(16O),<sup>32</sup>S<sup>16</sup>O,<sup>32</sup>S<sup>16</sup>O,32s16o,<sup>32</sup>S<sup>16</sup>O,<sup>32</sup>S<sup>16</sup>O,47.966986,SOLIS
38,SO2__32S-16O2__ExoAmes__(32S)(16O)2.csv,SO2,SO<sub>2</sub>,so2,Sulfur dioxide,64.058000,32S-16O2,(32S)(16O)2,<sup>32</sup>S<sup>16</sup>O<sub>2</sub>,<sup>32</sup>S<sup>16</sup>O<sub>2</sub>,32s16o2,<sup>32</sup>S<sup>16</sup>O<sub>2</sub>,<sup>32</sup>S<sup>16</sup>O<sub>2</sub>,63.961900,ExoAmes
39,TiO__48Ti-16O__Toto__(48Ti)(16O).csv,TiO,TiO,tio,Titanium oxide,63.866000,48Ti-16O,(48Ti)(16O),<sup>48</sup>Ti<sup>16</sup>O,<sup>48</sup>Ti<sup>16</sup>O,48ti16o,<sup>48</sup>Ti<sup>16</sup>O,<sup>48</sup>Ti<sup>16</sup>O,63.942856,Toto
40,YO__89Y-16O__BRYTS__(89Y)(16O).csv,YO,YO,yo,Yttrium monoxide,104.904840,89Y-16O,(89Y)(16O),<sup>89</sup>Y<sup>16</sup>O,<sup>89</sup>Y<sup>16</sup>O,89y16o,<sup>89</sup>Y<sup>16</sup>O,<sup>89</sup>Y<sup>16</sup>O,104.900756,BRYTS
41,YO__89Y-17O__BRYTS__(89Y)(17O).csv,YO,YO,yo,Yttrium monoxide,104.904840,89Y-17O,(89Y)(17O),<sup>89</sup>Y<sup>17</sup>O,<sup>89</sup>Y<sup>17</sup>O,89y17o,<sup>89</sup>Y<sup>17</sup>O,<sup>89</sup>Y<sup>17</sup>O,105.904973,BRYTS
42,YO__89Y-18O__BRYTS__(89Y)(18O).csv,YO,YO,yo,Yttrium monoxide,104.904840,89Y-18O,(89Y)(18O),<sup>89</sup>Y<sup>18</sup>O,<sup>89</sup>Y<sup>18</sup>O,89y18o,<sup>89</sup>Y<sup>18</sup>O,<sup>89</sup>Y<sup>18</sup>O,106.905001,BRYTS
43,ZrO__90Zr-16O__ZorrO__(90Zr)(16O).csv,ZrO,ZrO,zro,Zirconium oxide,107.223000,90Zr-16O,(90Zr)(16O),<sup>90</sup>Zr<sup>16</sup>O,<sup>90</sup>Zr<sup>16</sup>O,90zr16o,<sup>90</sup>Zr<sup>16</sup>O,<sup>90</sup>Zr<sup>16</sup>O,105.899613,ZorrO
