"ID",molecule,iso-slug,formula,dataset,Tmax,vmin,vmax,mass,abundance,Main column,Main format,QN label,QN format,HR N lines
16,CH_p,12C-1H_p,(12C)(1H)+,PYT,10000,27.857187,27.857187,56.965331,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5d,%5d",1
17,CN,12C-14N,(12C)(14N),KTPSYT,10000,3.76237,49547.793548,13.007825,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",272449
18,CO2,12C-16O2,(12C)(16O)2,UCL-4000,5000,73.249088,15248.62548,16.0313,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,e/f,n1,n2,l2,n3,m1,m2,m3,m4,m5","%3s,%1s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d",2600218
19,CaH,40Ca-1H,(40Ca)(1H),XAB,5000,8.413084,18450.7968,26.003074,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",12341
20,CaOH,40Ca-16O-1H,(40Ca)(16O)(1H),OYT6,5000,1.453079,16828.22043,43.989829,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,N,ElecState,L,v1,v2,l2,v3,Omega,F1/F2/F3","%1s,%1s,%5d,%12s,%3d,%2d,%2d,%2d,%2d,%5.1f,%2s",12984
21,H2CO,1H2-12C-16O,(1H)2(12C)(16O),AYTY,3000,2.429613,5886.78183,30.010565,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,v1,v2,v3,v4,v5,v6,Ka,Kb","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d",317729
22,H2CS,1H2-12C-32S,(1H)2(12C)(32S),MOTY,2000,129.690731,3256.665583,45.987721,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,v1,v2,v3,v4,v5,v6,Ka,Kc","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d",72218
23,H2O,1H2-16O,(1H)2(16O),POKAZATEL,10000,0.400554,21272.015047,18.010565,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Grve,v1,v2,v3,Ka,Kc","%3s,%2d,%2d,%2d,%2d,%2d",3520554
24,H2S,1H2-32S,(1H)2(32S),AYT2,3000,5.62932,16545.585164,33.987721,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Grve,v1,v2,v3,Ka,Kc","%3s,%2d,%2d,%2d,%2d,%2d",1084520
25,H3O_p,1H3-16O_p,(1H)3(16O)+,eXeL,2000,13.21823,3697.748777,4.029752,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,n1,n2,n3,l3,n4,l4,K,Grot","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%3s",1785
26,H3_p,1H2-2H_p,(1H)2(2H)+,ST,5000,12.42264,7105.518,3.023475,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,Grve,N,Isomer,v1,v2,v3,Ka,Kc","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%2d",646
27,H3_p,1H3_p,(1H)3+,MiZATeP,5000,36.075258,16506.139,5.036029,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","e/f,Grve,N,Isomer,v1,v2,l2,G,U,K","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%1s,%2d",13606
28,H3_p,2H2-1H_p,(2H)2(1H)+,MiZo,2000,17.964933,6581.112,6.042305,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,Grve,N,Isomer,v1,v2,v3,Ka,Kc","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%2d",683
29,H3_p,2H3_p,(2H)3+,MiZo,800,290.595,2215.49,19.01839,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","e/f,Grve,N,Isomer,v1,v2,l2,G,U,K","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%1s,%2d",225
30,LiOH,6Li-16O-1H,(6Li)(16O)(1H),OYT7,5000,2.61686,1562.405041,23.017863,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v1,v2,l2,v3","%1s,%1s,%12s,%2d,%2d,%2d,%2d",840
31,LiOH,7Li-16O-1H,(7Li)(16O)(1H),OYT7,5000,2.35783,1626.248586,24.018743,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v1,v2,l2,v3","%1s,%1s,%12s,%2d,%2d,%2d,%2d",749
32,MgH,24Mg-1H,(24Mg)(1H),XAB,5000,11.4452,24433.246213,24.992867,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",2462
33,MgH,25Mg-1H,(25Mg)(1H),XAB,5000,140.828729,22792.378773,25.993662,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",5850
34,MgH,26Mg-1H,(26Mg)(1H),XAB,5000,11.41006,22792.213956,26.990418,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",5339
35,N2,14N2,(14N)2,WCCRMT,9000,1.377209,40496.17998,28.006148,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,g/u,ElecState,v,F,N","%1s,%1s,%1s,%12s,%3d,%2s,%5d",5344527
36,N2O,14N2-16O,(14N)2(16O),TYM,3000,0.838021,19159.193067,44.001063,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,n1,n2lin,l2,n3,P,N","%3s,%2d,%2d,%2d,%2d,%2d,%5d",3459640
37,NH,14N-1H,(14N)(1H),kNigHt,10000,31.570272,45494.12062,15.010899,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,N,F","%1s,%1s,%12s,%3d,%3d,%5d,%2d",26131
38,NH,14N-2H,(14N)(2H),kNigHt,10000,16.403307,9085.941843,16.017176,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,N,F","%1s,%1s,%12s,%3d,%3d,%5d,%2d",943
39,NH,15N-1H,(15N)(1H),kNigHt,10000,31.425712,12079.280725,16.007934,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,N,F","%1s,%1s,%12s,%3d,%3d,%5d,%2d",943
40,NH,15N-2H,(15N)(2H),kNigHt,10000,16.25737,9050.444459,17.014211,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,e/f,ElecState,v,Lambda,N,F","%1s,%1s,%12s,%3d,%3d,%5d,%2d",943
41,NH3,14N-1H3,(14N)(1H)3,CoYuTe,2000,19.096483,10003.454732,17.026549,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","+/-,Gtot,N,n1,n2,n3,n4,l3,l4,inv,K,Grot","%1s,%3d,%5d,%2d,%2d,%2d,%2d,%2d,%2d,%1d,%2d,%3d",1510375
42,NH3,15N-1H3,(15N)(1H)3,CoYuTe-15,2000,19.083628,6970.810223,18.023584,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,n1,n2,n3,l3,n4,l4,Gvib,K,Grot","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%3s,%2d,%3s",148651
43,NO,14N-16O,(14N)(16O),XABC,5000,24.052957,53452.866437,58.943167,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",106711
44,NiH,58Ni-1H,(58Ni)(1H),BYOT,10000,1415.72,7323.082,59.949444,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",4335
45,NiH,58Ni-2H,(58Ni)(2H),BYOT,10000,707.132,6608.354,60.93861,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",5193
46,NiH,60Ni-1H,(60Ni)(1H),BYOT,10000,1414.3586,7321.2425,62.93617,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",3188
47,NiH,62Ni-1H,(62Ni)(1H),BYOT,10000,1424.8602,5610.0232,29.997989,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7.1f,%7.1f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",702
48,OCS,16O-12C-32S,(16O)(12C)(32S),OYT8,5000,0.405713,10000.067531,59.966986,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%7d","Gtot,v1,v2,l2,v3,e/f,Gvib,Grot,Coef,n1,n2,n3","%3s,%2d,%2d,%2d,%2d,%1s,%3s,%3s,%5.2f,%2d,%2d,%2d",279273
